,"ds[, 1]",535.2 24.56533,273.1 25.18758,615.7 24.45783,516.3 25.61195,350.1 24.15222,649.7 24.93817,571.9 24.958,619.6 25.53383,788.2 25.1655,509.6 24.92408,431.1 25.40817
30_do,pre,18.72024371,17.15236052,18.59190482,16.56570733,19.02905177,16.90916035,17.16533174,15.24457308,19.12255438,16.34825586,17.39473958
31_do,pre,18.40280199,17.2208866,18.22545291,16.32161739,18.93435173,16.90099839,17.05981429,15.05250189,19.14032971,16.35854011,17.35988686
32_do,pre,18.25841691,17.11211235,18.05076565,16.13703166,19.02985526,16.85168536,17.08277491,14.90782756,19.07962575,16.34724034,17.12229827
33_cg,CG,17.52498873,16.92048606,17.34768493,15.88654845,18.78027474,16.69219719,16.64409592,14.42768862,18.87048996,16.31792382,17.11644084
34_do,pre,18.46990211,17.26957993,17.7121839,16.14589839,19.20260756,17.04140107,17.11872691,14.88729624,19.03727729,16.65174382,17.54255431
35_kg,CG,17.86802412,16.93342867,17.43241774,15.78903214,18.91474042,16.58482254,16.95800451,14.30964705,18.95527931,16.1089458,17.1498887
36_do,pre,18.08012593,17.24548731,17.58119077,16.01279898,18.92845713,16.76487696,17.05001547,14.65115921,19.10488116,16.33632627,17.30262145
37_do,pre,17.9660665,17.21740958,17.69261083,16.32918156,18.8873762,17.18447076,17.01187971,15.3719082,18.86627711,16.51896694,17.30924892
38_kg,CG,17.10879989,16.8593499,17.10895637,15.5543758,18.26978195,16.63451651,16.47341625,14.34271929,18.70319808,16.10177898,17.19059608
39_do,pre,18.1375076,17.25599987,17.47838003,16.12449234,18.99041399,17.01678911,16.78305808,14.99508955,18.74367726,16.40570504,17.22017296
40_kg,CG,17.25709396,16.58898005,16.84587453,15.48855127,18.57165187,16.66447153,16.56951601,14.50586183,18.6641908,16.1188052,17.14071458
41_do,pre,17.86130394,17.26475233,17.15199166,15.64881626,18.98467129,16.99087593,16.9024477,14.78882171,18.81846167,16.36055436,17.29513493
42_kg,CG,17.31047028,16.88017148,16.75586443,15.79248053,18.49816042,16.53141772,16.43339073,14.60231898,18.54336495,15.95264294,17.25525964
43_do,pre,17.41194914,17.06845551,16.83606531,15.47313633,18.67444019,16.47646083,16.44528691,14.37801215,18.55370233,16.13404373,17.24199604
44_kg,CG,17.06060797,17.06554025,16.70664014,15.44993104,18.50446403,16.2600291,16.38393897,14.13396239,18.55912529,15.94601315,17.24199794
46_do,pre,17.87871949,17.19515169,17.08143463,15.74864372,18.77919694,16.76484841,16.72527013,14.51094269,18.76761683,16.38157451,17.4991841
47_do,pre,18.25943496,17.12853424,17.4149042,15.70611542,19.11302062,16.81433782,16.84887787,14.83539744,18.47921639,16.21884911,17.23096637
48_kg,CG,17.20683817,16.79884158,16.84013992,15.25105138,18.64310663,16.11796163,16.52070583,13.85531848,18.44870943,15.79370549,16.8079706
